movie_sid,movie_name,movie_score,movie_time,movie_style,movie_director
34813551,龙无目,4.3,2020-08-28(中国大陆网络),,朱梓骁 朱圣祎 叶项明 孟子叶 闫笑 徐小琴 何音
34869362,温暖的抱抱,5.2,2020-12-31(中国大陆),喜剧,常远 李沁 沈腾 乔杉 马丽 艾伦 田雨 王智 魏翔 王宁 黄才伦 张一鸣 王成思 张子栋 陈昊明 吴莫愁 常宝华 许文赫 谢波 冷旭阳 王志君 李菁 郝燕飞 贾舒涵 任怡瑄 冯玉香 米可 杨沅翰
25845392,长津湖,7.4,2021-09-30(中国大陆),剧情 历史 战争,吴京 易烊千玺 段奕宏 朱亚文 李晨 韩东君 胡军 张涵予 黄轩 欧豪 史彭元 李岷城 唐国强 杨一威 周小斌 林永健 王宁 刘劲 卢奇 王伍福 耿乐 曹阳 李军 王同辉 艾米 石昊正 许明虎 刘沙 王健 吴铁梁  张笑君 吴卫东 周惠林 贺镪 赵永占 王洪涛 成国栋 林京来 褚栓忠 张一鸣 陆苇 田征 张宁江 刚毅 王燕阳 蔡心 孙渤洋 郭建  李易泽 戴路  那志东 刘欣杰 李博 韩伯维 贾兴钢 闫鹏 史磊 王冠淇 王志刚 王子龙 张晨音 吴东健 李卓扬 刘治威 何跃飞 唐志强 胡学良 辛玉波 张跃 贺广治  谢京达 张镭 刘津彤 黄晓航 曹敖日格勒 张志坤 章小磊 宋玉臣 潘展展 孙毅 庄小龙 王振威 陈泽轩 李小锋 赵亦涵 张玉波 张修 唐琳森 朱光明 尹元章 蒋潇林 张志勤 程亦 杨灿 C.T. / Gao Mingyu Evans   吴明杭 詹姆斯·菲尔伯德 约翰·克鲁兹
26830087,极限挑战 第三季,8.2,2017-07-09(中国大陆),真人秀,黄渤 孙红雷 黄磊 罗志祥 王迅 张艺兴 沙溢 刘桦 夏雨 徐锦江 张歆艺 王珞丹 韩雪 姚晨 王嘉尔 崔雅涵 江一燕 宋小宝 林更新 王自健 郭涛 王大陆 雷恪生 李立群 林志玲 黄宗泽 苑琼丹 曾志伟
26597955,雨夜惊魂,2.8,2015-11-05(中国大陆),惊悚,蓝心妍 王李丹妮 董玉峰 邓紫衣 胡曦文
1293173,古墓丽影 Lara Croft: Tomb Raider,7.1,2001-06-15(美国),动作 冒险,安吉丽娜·朱莉 丹尼尔·克雷格 伊恩·格雷 诺亚·泰勒 强·沃特 理查德·约翰逊 克里斯·巴里 朱利安·林希德-图特 莱斯利·菲利普斯 Robert Phillips Rachel Appleton 大卫·谢 卡尔·蔡斯 奥莱加·费多罗 丽琪达·卡里 Sonny Caldinez 詹姆斯·恩布里 童自荣
25711530,离婚律师,7.2,2014-08-04(中国大陆),剧情 爱情,姚晨 吴秀波 方中信 张萌 韩雨芹 刘欢 朱刚日尧 买红妹 朱茵 岳红 王景春 赵亮 贾景晖 于珈若 秦焰 褚栓忠 孟丽 翟天临 曹炳琨 张晞临 李晨 王自健 涂松岩 句号 谢园 苑冉 叶熙祺 徐福来 矫菲 赵婉瑜 巴萨姆·哈亚提 马梓涵 李想
33393274,摩天大楼,8.0,2020-08-19(中国大陆),悬疑 犯罪,郭涛 杨子姗 杨颖 焦刚 刘丹 倪虹洁 吕聿来 郑人硕 马亮 孔雁 张柏嘉 马小媛 曹恩齐 金世佳 王圣迪 李解 曹艳艳 吴玉芳 毛雪雯 王梓尘 高睿菲儿 汪飏 李溪昶 闫汶渲 张晗 郭震 吴恩璇 王美茜 严丰 王蕊 李昕岳 曹蕴 上官瞳 李雪蕊 陈晶晶 朱晓鸣 红木 殳俏 代文君 刘惠仪 蒋林燕 陈羽汐 张煜雯 米拉 姜来 何雨佳 王大虹
35411088,重启地球,3.7,2021-09-03(中国大陆网络),剧情 科幻,何晟铭 罗米 叶璇 于荣光 李宁 脑门额尔德尼
3005875,2012,8.0,2009-11-13(中国大陆/美国),科幻 灾难,约翰·库萨克 阿曼达·皮特 切瓦特·埃加福 坦迪·牛顿 奥利弗·普莱特 汤姆·麦卡锡 伍迪·哈里森 丹尼·格洛弗 连姆·詹姆斯 摩根·莉莉 扎特科·巴瑞克 毕崔斯·罗森 乔翰·厄布 约翰·比灵斯列 黄经汉 周逸之 张铮 卢燕 布鲁·曼库马 乔治·席格 帕特里克·波查 吉米·米斯特雷 瑞安·麦克唐纳德 玛丽莲·江恩 区亨利 帕特里克·吉尔莫 韦弗·里库克 多隆·贝尔 大卫·奥斯 泰·奥尔森 Zinaid Memisevic BJ·哈里森 Dominic Zamprogna 卡琳·考诺娃 Mary Gillis 郑柏恒 Parm Soor 杰拉德·普伦科特 伊芙·哈洛 肖恩·泰森 迈克尔·巴佛 达伦·A·赫伯特 朱迪·汤普森 坦娅·钱普 弗兰克·C·特纳 拉腊·萨迪克 吉莲·芭伯 贝薇莉·埃利奥特 阿加·达什 拉吉·拉尔 杰克博·布莱尔 Scott E. Miller 安娜-梅劳特里奇 艾迪·哈塞尔 亚历桑德拉·卡斯蒂略 李利强 杰夫·古斯塔夫森 艾力克斯·萨哈拉 杰森·格里菲斯 吉尔·莫里森 姜广涛 张杰
34927916,不速来客,6.6,2021-10-22(中国大陆),喜剧 悬疑,范伟 窦骁 张颂文 朱珠 梁超 胡明 高尚 蔡鹭 东方晓
5044739,奋斗,5.0,2011-04-02(中国大陆),剧情 喜剧 爱情,李晨 董璇 郑恺 李媛 胡睿 王东方 吴嘉龙 沈芳熙 张晨光 翁虹 钟夫翔 荣蓉 张立昕 龙水林 刘亚鹏 张皓然 姜冰洁 马艳伶 强宇
30296766,午夜整容室,3.2,2018-12-14(中国大陆),惊悚 恐怖,赖晶晶 王李丹妮 陈垚 潘彦妃 雷诺儿
27194980,极限挑战 第四季,7.6,2018-04-29(中国大陆),真人秀,黄渤 孙红雷 黄磊 张艺兴 罗志祥 王迅 于和伟 小沈阳 王自健 魏嘉镁 华斯比 河狸 米莉·阿尔柯克 怪异君
33457717,大红包,4.7,2021-01-22(中国大陆),喜剧 爱情,包贝尔 克拉拉 张一鸣 贾冰 许君聪 廖蔚蔚 赵毅新 姜语心 杜源 王小利 李琳 岳跃利 李萍
35042912,云南虫谷,6.1,2021-08-30(中国大陆),剧情 动作 冒险,潘粤明 张雨绮 姜超 李晨 梁天 王奎荣 佟磊 胡晓光 季东燃 赵昱童 郑伊鸣 梁栋 黄婧仪 杨潇洒
34431573,脱口秀大会 第二季,7.6,2019-07-21(中国大陆),脱口秀,于谦 李诞 吴昕 池子 马东 王建国 程璐 庞博 王思文 杨磊 陈嘉桦 于小彤 梁海源 冯提莫 郑钧 张博洋 胡豆豆 卡姆 徐峥 于文文 信 汪苏泷 杨笠 孟川 江梓浩 王勉 颜怡 颜悦 陈晓靖 呼兰 赵晓卉 皮球 吴星辰
4202982,冰雪奇缘 Frozen,8.4,2014-02-05(中国大陆),喜剧 动画 歌舞 奇幻,克里斯汀·贝尔 伊迪娜·门泽尔 乔纳森·格罗夫 乔什·加德 圣蒂诺·方塔纳 艾伦·图代克 塞伦·希德 克里斯·威廉姆斯 斯蒂芬·安德森 玛雅·威尔逊 伊迪·麦克勒格 罗伯特·派恩 莫里斯·拉马奇 珍妮弗·李 莉薇·施图本劳赫 伊娃·贝拉 斯宾塞·莱西·加纳斯 泰里·布朗 杰西·科尔蒂 杰夫·马库斯 塔克·吉莫尔 保罗·布里格斯 松隆子 泷正则 吴磊 安娜莱吉·阿什福特 柯特妮·佩尔顿 珍妮卡·贝尔格雷 艾娃·阿卡雷斯 凯蒂·洛斯 周帅 赵乾景 刘北辰 斯科特·门维尔 保罗·佩普 弗雷德·塔特西奥 少爷占 尼古拉斯·格斯特 杰登·桑德 尼克·詹姆森 达拉·麦加瑞 张安琪 约翰·拉维尔 朴惠娜 张琦 吉恩·吉尔平
26279203,奔跑吧兄弟 第二季,6.7,2015-04-17(中国大陆),真人秀,邓超 杨颖 郑恺 李晨 王祖蓝 陈赫 包贝尔 范冰冰 韩庚 黄晓明 欧弟 宋佳 叶祖新 蒋劲夫 林更新 李治廷 张艺兴 杜淳 陈乔恩 吴奇隆 姚晨 信 吉克隽逸 大鹏 萧敬腾 刘涛 井柏然 江一燕 李彩桦 白百何 蔡少芬 柳岩 霍思燕 唐嫣 王诗龄 蒋欣
24695611,北平无战事,8.9,2014-10-06(中国大陆),剧情 战争,刘烨 陈宝国 焦晃 倪大红 王庆祥 程煜 廖凡 董勇 沈佳妮 祖峰 李晨 王凯 王劲松 姜瑞佳 陈丽娜 谢钢 高鑫 孙之鸿 马少骅 毕彦君 韩青 曹卫宇 刘奕君 罗京民 王一楠 杨新鸣 岳旸 王永泉 刘钧 白玉 赵达 赵小锐 冯晖 曹磊 许敏 匡牧野 胡春勇 马岩 李克伟 刘凌志 啜二勇 魏伟 刘红星 苗克 金丰 朱子墨 王宏 张陆 冯启龙 廖亮 张震 郭东岳 李泽锋 林晓凡 张杭 吴斌 陈奕恩 李立宏 吴凌云 赵志君 李靖 马波 徐玺涵
24843196,光的棍,3.6,2013-11-08(中国大陆),喜剧 爱情,陈昊 徐洁儿 周知 孔二狗 王李丹妮 王紫伊 毛俊杰 谢闻轩 宋宁 傅天骄 陈佳佳
26628406,夺命巨鳄,暂无评分,2020-12-27(中国大陆),剧情,卡米尔·沙隆 艾东
30122638,流金岁月,6.5,2020-12-28(中国大陆),剧情 爱情,刘诗诗 倪妮 董子健 田雨 王骁 杨祐宁 杨玏 陈道明 袁泉 何泓姗 吴越 于小伟 张晨光 王琳 杨新鸣 谭凯 吴彦姝 荣梓希 郭泱 吴玉芳 王远达 曲哲明 是安 侯长荣 朱茵 佟悦 师悦玲 冯晖 白梓轩 朱珠 韩玺曈 杨可欣 黄政皓 马耶拉·马格鲁 金丰 郭彤彤 荣飞 茹天 刘志云 赵阳 黄子恒 孙强 史艳 张文俊 李宏磊 孟秀 葛兆美 柯宇 王益博 曹雷 常荻
